#,pay_band,grade_pay,lvl,value,active_flag,dml_status_flag,user_id,created_timestamp,modified_user_id,modified_timestamp,serv_type,cadrename_ais,value_2017_backup,_id
1,15600-39100,5400,14,116500,Y,0,0,2018-11-09 16:19:30.000000,0,2018-11-09 16:19:30.000000,GI,,102100,1
2,15600-39100,5400,14,120000,Y,0,0,2018-11-09 16:19:30.000000,0,2018-11-09 16:19:30.000000,GI,,105170,2
3,15600-39100,5400,14,123600,Y,0,0,2018-11-09 16:19:30.000000,0,2018-11-09 16:19:30.000000,GI,,108330,3
4,15600-39100,5400,14,127300,Y,0,0,2018-11-09 16:19:30.000000,0,2018-11-09 16:19:30.000000,GI,,111580,4
5,15600-39100,5400,14,131100,Y,0,0,2018-11-09 16:19:30.000000,0,2018-11-09 16:19:30.000000,GI,,114930,5
6,15600-39100,5400,14,135000,Y,0,0,2018-11-09 16:19:30.000000,0,2018-11-09 16:19:30.000000,GI,,118380,6
7,15600-39100,5400,14,139100,Y,0,0,2018-11-09 16:19:30.000000,0,2018-11-09 16:19:30.000000,GI,,121940,7
8,15600-39100,5400,14,143300,Y,0,0,2018-11-09 16:19:30.000000,0,2018-11-09 16:19:30.000000,GI,,125600,8
9,15600-39100,5400,14,147600,Y,0,0,2018-11-09 16:19:30.000000,0,2018-11-09 16:19:30.000000,GI,,129370,9
10,15600-39100,5400,14,152000,Y,0,0,2018-11-09 16:19:30.000000,0,2018-11-09 16:19:30.000000,GI,,133260,10
11,15600-39100,5400,14,156600,Y,0,0,2018-11-09 16:19:30.000000,0,2018-11-09 16:19:30.000000,GI,,137260,11
12,15600-39100,5400,14,161300,Y,0,0,2018-11-09 16:19:30.000000,0,2018-11-09 16:19:30.000000,GI,,141380,12
13,15600-39100,6600,15,64800,Y,0,0,2018-11-09 16:19:30.000000,0,2018-11-09 16:19:30.000000,GI,,56700,13
14,15600-39100,6600,15,66700,Y,0,0,2018-11-09 16:19:30.000000,0,2018-11-09 16:19:30.000000,GI,,58410,14
15,15600-39100,6600,15,68700,Y,0,0,2018-11-09 16:19:30.000000,0,2018-11-09 16:19:30.000000,GI,,60170,15
16,15600-39100,6600,15,70800,Y,0,0,2018-11-09 16:19:30.000000,0,2018-11-09 16:19:30.000000,GI,,61980,16
17,15600-39100,6600,15,72900,Y,0,0,2018-11-09 16:19:30.000000,0,2018-11-09 16:19:30.000000,GI,,63840,17
18,15600-39100,6600,15,75100,Y,0,0,2018-11-09 16:19:30.000000,0,2018-11-09 16:19:30.000000,GI,,65760,18
19,15600-39100,6600,15,77400,Y,0,0,2018-11-09 16:19:30.000000,0,2018-11-09 16:19:30.000000,GI,,67740,19
20,15600-39100,6600,15,79700,Y,0,0,2018-11-09 16:19:30.000000,0,2018-11-09 16:19:30.000000,GI,,69780,20
21,15600-39100,6600,15,82100,Y,0,0,2018-11-09 16:19:30.000000,0,2018-11-09 16:19:30.000000,GI,,71880,21
22,15600-39100,6600,15,84600,Y,0,0,2018-11-09 16:19:30.000000,0,2018-11-09 16:19:30.000000,GI,,74040,22
23,15600-39100,6600,15,87100,Y,0,0,2018-11-09 16:19:30.000000,0,2018-11-09 16:19:30.000000,GI,,76270,23
24,15600-39100,6600,15,89700,Y,0,0,2018-11-09 16:19:30.000000,0,2018-11-09 16:19:30.000000,GI,,78560,24
25,15600-39100,6600,15,92400,Y,0,0,2018-11-09 16:19:30.000000,0,2018-11-09 16:19:30.000000,GI,,80920,25
26,15600-39100,6600,15,95200,Y,0,0,2018-11-09 16:19:30.000000,0,2018-11-09 16:19:30.000000,GI,,83350,26
27,15600-39100,6600,15,98100,Y,0,0,2018-11-09 16:19:30.000000,0,2018-11-09 16:19:30.000000,GI,,85860,27
28,15600-39100,6600,15,101000,Y,0,0,2018-11-09 16:19:30.000000,0,2018-11-09 16:19:30.000000,GI,,88440,28
29,15600-39100,6600,15,104000,Y,0,0,2018-11-09 16:19:30.000000,0,2018-11-09 16:19:30.000000,GI,,91100,29
30,15600-39100,6600,15,107100,Y,0,0,2018-11-09 16:19:30.000000,0,2018-11-09 16:19:30.000000,GI,,93840,30
31,15600-39100,6600,15,110300,Y,0,0,2018-11-09 16:19:30.000000,0,2018-11-09 16:19:30.000000,GI,,96660,31
32,15600-39100,6600,15,113600,Y,0,0,2018-11-09 16:19:30.000000,0,2018-11-09 16:19:30.000000,GI,,99560,32
33,15600-39100,6600,15,117000,Y,0,0,2018-11-09 16:19:30.000000,0,2018-11-09 16:19:30.000000,GI,,102550,33
34,15600-39100,6600,15,120500,Y,0,0,2018-11-09 16:19:30.000000,0,2018-11-09 16:19:30.000000,GI,,105630,34
35,15600-39100,6600,15,124100,Y,0,0,2018-11-09 16:19:30.000000,0,2018-11-09 16:19:30.000000,GI,,108800,35
36,15600-39100,6600,15,127800,Y,0,0,2018-11-09 16:19:30.000000,0,2018-11-09 16:19:30.000000,GI,,112070,36
37,15600-39100,6600,15,131600,Y,0,0,2018-11-09 16:19:30.000000,0,2018-11-09 16:19:30.000000,GI,,115440,37
38,15600-39100,6600,15,135500,Y,0,0,2018-11-09 16:19:30.000000,0,2018-11-09 16:19:30.000000,GI,,118910,38
39,15600-39100,6600,15,139600,Y,0,0,2018-11-09 16:19:30.000000,0,2018-11-09 16:19:30.000000,GI,,122480,39
40,15600-39100,6600,15,143800,Y,0,0,2018-11-09 16:19:30.000000,0,2018-11-09 16:19:30.000000,GI,,126160,40
41,15600-39100,6600,15,148100,Y,0,0,2018-11-09 16:19:30.000000,0,2018-11-09 16:19:30.000000,GI,,129950,41
42,15600-39100,6600,15,152500,Y,0,0,2018-11-09 16:19:30.000000,0,2018-11-09 16:19:30.000000,GI,,133850,42
43,15600-39100,6600,15,157100,Y,0,0,2018-11-09 16:19:30.000000,0,2018-11-09 16:19:30.000000,GI,,137870,43
44,15600-39100,6600,15,161800,Y,0,0,2018-11-09 16:19:30.000000,0,2018-11-09 16:19:30.000000,GI,,142010,44
45,15600-39100,6800,16,68400,Y,0,0,2018-11-09 16:19:30.000000,0,2018-11-09 16:19:30.000000,GI,,59880,45
46,15600-39100,6800,16,70500,Y,0,0,2018-11-09 16:19:30.000000,0,2018-11-09 16:19:30.000000,GI,,61680,46
47,15600-39100,6800,16,72600,Y,0,0,2018-11-09 16:19:30.000000,0,2018-11-09 16:19:30.000000,GI,,63540,47
48,15600-39100,6800,16,74800,Y,0,0,2018-11-09 16:19:30.000000,0,2018-11-09 16:19:30.000000,GI,,65450,48
49,15600-39100,6800,16,77000,Y,0,0,2018-11-09 16:19:30.000000,0,2018-11-09 16:19:30.000000,GI,,67420,49
50,15600-39100,6800,16,79300,Y,0,0,2018-11-09 16:19:30.000000,0,2018-11-09 16:19:30.000000,GI,,69450,50
51,15600-39100,6800,16,81700,Y,0,0,2018-11-09 16:19:30.000000,0,2018-11-09 16:19:30.000000,GI,,71540,51
52,15600-39100,6800,16,84200,Y,0,0,2018-11-09 16:19:30.000000,0,2018-11-09 16:19:30.000000,GI,,73690,52
53,15600-39100,6800,16,86700,Y,0,0,2018-11-09 16:19:30.000000,0,2018-11-09 16:19:30.000000,GI,,75910,53
54,15600-39100,6800,16,89300,Y,0,0,2018-11-09 16:19:30.000000,0,2018-11-09 16:19:30.000000,GI,,78190,54
55,15600-39100,6800,16,92000,Y,0,0,2018-11-09 16:19:30.000000,0,2018-11-09 16:19:30.000000,GI,,80540,55
56,15600-39100,6800,16,94800,Y,0,0,2018-11-09 16:19:30.000000,0,2018-11-09 16:19:30.000000,GI,,82960,56
57,15600-39100,6800,16,97600,Y,0,0,2018-11-09 16:19:30.000000,0,2018-11-09 16:19:30.000000,GI,,85450,57
58,15600-39100,6800,16,100500,Y,0,0,2018-11-09 16:19:30.000000,0,2018-11-09 16:19:30.000000,GI,,88020,58
